date,area,average_price,code,houses_sold,no_of_crimes
2009-07-01,city of london,379109,E09000001,20.0,0.0
2009-08-01,city of london,360545,E09000001,20.0,0.0
2009-09-01,city of london,391138,E09000001,19.0,0.0
2009-10-01,city of london,399867,E09000001,19.0,0.0
2009-11-01,city of london,397909,E09000001,11.0,0.0
2009-12-01,city of london,411955,E09000001,16.0,0.0
2010-01-01,city of london,464436,E09000001,20.0,0.0
2010-02-01,city of london,490525,E09000001,9.0,0.0
2010-03-01,city of london,498241,E09000001,15.0,0.0
2001-01-01,barking and dagenham,82343,E09000002,215.0,1771.0
2001-02-01,barking and dagenham,83266,E09000002,238.0,1600.0
2001-03-01,barking and dagenham,84058,E09000002,274.0,1759.0
2001-04-01,barking and dagenham,83965,E09000002,241.0,1643.0
2001-05-01,barking and dagenham,85124,E09000002,283.0,1809.0
2001-06-01,barking and dagenham,86732,E09000002,292.0,1835.0
2001-07-01,barking and dagenham,89194,E09000002,289.0,1774.0
2001-08-01,barking and dagenham,90462,E09000002,321.0,1828.0
2001-09-01,barking and dagenham,92610,E09000002,251.0,1692.0
2001-10-01,barking and dagenham,93584,E09000002,270.0,1743.0
2001-11-01,barking and dagenham,95918,E09000002,282.0,1601.0
2001-12-01,barking and dagenham,96712,E09000002,247.0,1421.0
2002-01-01,barking and dagenham,98713,E09000002,216.0,1751.0
2002-02-01,barking and dagenham,100229,E09000002,198.0,1529.0
2002-03-01,barking and dagenham,101633,E09000002,261.0,1626.0
2002-04-01,barking and dagenham,103885,E09000002,285.0,1685.0
2002-05-01,barking and dagenham,105761,E09000002,335.0,1872.0
2002-06-01,barking and dagenham,108615,E09000002,307.0,1630.0
2002-07-01,barking and dagenham,111983,E09000002,347.0,1757.0
2002-08-01,barking and dagenham,115548,E09000002,350.0,1651.0
2002-09-01,barking and dagenham,118331,E09000002,268.0,1600.0
2002-10-01,barking and dagenham,122940,E09000002,312.0,1753.0
2002-11-01,barking and dagenham,127316,E09000002,300.0,1631.0
2002-12-01,barking and dagenham,131709,E09000002,270.0,1555.0
2003-01-01,barking and dagenham,134750,E09000002,254.0,1652.0
2003-02-01,barking and dagenham,138195,E09000002,219.0,1473.0
2003-03-01,barking and dagenham,142207,E09000002,247.0,1786.0
2003-04-01,barking and dagenham,142192,E09000002,254.0,1620.0
2003-05-01,barking and dagenham,142797,E09000002,248.0,1887.0
2003-06-01,barking and dagenham,141957,E09000002,325.0,1782.0
2003-07-01,barking and dagenham,142223,E09000002,329.0,1832.0
2003-08-01,barking and dagenham,142792,E09000002,339.0,1774.0
2003-09-01,barking and dagenham,141707,E09000002,361.0,1711.0
2003-10-01,barking and dagenham,145136,E09000002,347.0,2049.0
2003-11-01,barking and dagenham,146331,E09000002,318.0,1940.0
2003-12-01,barking and dagenham,149701,E09000002,374.0,1579.0
2004-01-01,barking and dagenham,150115,E09000002,321.0,1768.0
2004-02-01,barking and dagenham,152688,E09000002,297.0,1823.0
2004-03-01,barking and dagenham,153591,E09000002,368.0,1974.0
2004-04-01,barking and dagenham,154014,E09000002,302.0,1860.0
2004-05-01,barking and dagenham,154361,E09000002,322.0,1907.0
2004-06-01,barking and dagenham,156951,E09000002,351.0,1833.0
2004-07-01,barking and dagenham,159227,E09000002,330.0,1769.0
2004-08-01,barking and dagenham,160620,E09000002,316.0,1717.0
2004-09-01,barking and dagenham,162821,E09000002,292.0,1693.0
2004-10-01,barking and dagenham,164422,E09000002,254.0,1711.0
2004-11-01,barking and dagenham,165172,E09000002,255.0,1701.0
2004-12-01,barking and dagenham,164130,E09000002,208.0,1515.0
2005-01-01,barking and dagenham,164484,E09000002,183.0,1694.0
2005-02-01,barking and dagenham,162324,E09000002,168.0,1584.0
2005-03-01,barking and dagenham,161927,E09000002,213.0,1822.0
2005-04-01,barking and dagenham,162771,E09000002,191.0,1713.0
2005-05-01,barking and dagenham,164000,E09000002,223.0,1846.0
2005-06-01,barking and dagenham,165770,E09000002,275.0,1634.0
2005-07-01,barking and dagenham,162428,E09000002,303.0,1802.0
2005-08-01,barking and dagenham,164000,E09000002,279.0,1877.0
2005-09-01,barking and dagenham,163111,E09000002,263.0,1622.0
2005-10-01,barking and dagenham,164179,E09000002,262.0,1842.0
2005-11-01,barking and dagenham,162695,E09000002,267.0,1737.0
2005-12-01,barking and dagenham,162642,E09000002,263.0,1542.0
2006-01-01,barking and dagenham,162340,E09000002,208.0,2002.0
2006-02-01,barking and dagenham,163024,E09000002,256.0,1675.0
